rsi,adx,trend,result
70.44285519331524,49.11878668228455,1,0
70.28871393785829,25.546610651174515,1,1
29.616894415281724,37.59909906950314,0,1
29.05453516129521,36.718741672326715,0,0
28.538611668555173,37.20223577495996,0,0
25.918640448881767,37.95680939581153,0,0
28.589862429231346,38.95601416926326,0,0
27.893576585562432,39.40878844448821,0,0
27.65176362674501,39.96518279949172,0,0
28.320957941868752,40.18727477174463,0,0
26.475116419230925,40.5807444380032,0,0
26.386947649887706,41.0627209337373,0,0
25.039580562456504,41.70653384899806,0,0
21.49377150659522,42.645412176870494,0,0
19.939626658352942,43.80120042771832,0,1
18.975922569835223,45.08981838362448,0,0
28.194686213938216,45.441297144910955,0,0
26.525625656829078,45.408934129073764,0,0
24.70223540624605,45.63193788885628,0,0
15.056180272808506,48.32216971000881,0,1
14.374460294698663,50.529415585381614,0,1
21.983058213699763,52.579001034432146,0,1
21.266988269722205,53.849378017593516,0,0
25.26827346487315,55.02901378437039,0,0
23.871689344723805,55.617225305512775,0,1
23.825897186447346,56.184663484092056,0,1
27.420874265672104,56.22361643950703,0,1
25.181230282163625,56.59448858478705,0,1
26.262157135255446,56.93886986188167,0,1
29.37903174025337,48.45217542947246,0,0
19.848707681968474,47.98310623289147,0,0
19.599121060758257,49.44009597649399,0,1
21.890838296667347,50.88454873882442,0,0
22.258129081791406,51.90070821444717,0,0
22.258129081791406,51.48746057250826,0,0
20.575601446355403,51.37463188566276,0,0
26.738317262688522,51.07663981353375,0,0
26.5237950759795,50.7999328895112,0,0
25.78139616850975,50.73936625109678,0,0
25.5504029078031,49.791591603023015,0,0
23.031211499214947,49.31822407925383,0,0
21.741157456337305,49.17939970493651,0,0
21.46850778455321,49.05049135738741,0,1
19.55407086399234,49.21041646586723,0,1
23.118265608252848,49.39694623812736,0,1
28.902847065512795,48.2446389031736,0,0
29.6813943581317,34.772317210788124,0,0
25.802134149733803,36.74275836482363,0,1
24.942316396903635,38.58110185568328,0,1
28.5684228235908,37.65613682304311,0,1
