ticker,timestamp,open,high,low,close,volume,ema_9,ema_21,ema_50,ema_200,rsi,adx,atr,supertrend,vwap,fvg_bullish,fvg_bearish,liquidity_sweep,volume_spike,market_regime,volatility_regime,signal_type,outcome,target_hit,stop_hit,holding_period
TCS,2025-05-21,3390.816528025104,3418.8477935076376,3381.4406002159167,3408.02197265625,1440153,3401.1141740083626,3373.3877035282885,3415.4904395980566,3681.1388508420637,56.6945620432136,44.95588957545728,66.8745851813519,3237.0888765032623,3771.751691451759,0,0,0,0,-1,0,BUY,LOSS,0,1,1
TCS,2025-05-23,3360.851724551366,3416.9142497236344,3349.8326329632987,3397.19580078125,1274331,3393.888520584103,3374.5160514696604,3412.7143244679614,3674.8610180499136,55.20814881198063,40.909643658161734,66.79864993633267,3237.0888765032623,3770.002441619396,0,0,0,0,-1,0,BUY,LOSS,0,1,6
TCS,2025-05-26,3403.3821442949547,3426.5804321288315,3392.846349631144,3419.1376953125,967470,3398.9383555297823,3378.5725645462835,3412.9662225793163,3672.1913352966153,56.48600225577964,39.21856438316682,66.72269653095613,3237.0888765032623,3769.547952270277,1,0,0,0,-1,0,BUY,LOSS,0,1,4
TCS,2025-05-27,3414.014574749619,3421.747337093333,3366.7481593177404,3381.826904296875,2467680,3395.516065283201,3378.8684136145193,3411.7450671813554,3669.161491739527,54.325373628371544,37.91505817654401,67.93092873096703,3237.0888765032623,3768.3203333085435,0,0,0,0,-1,0,BUY,LOSS,0,1,4
TCS,2025-05-28,3402.4154740639756,3411.114831810162,3376.317400825417,3380.8603515625,1222933,3392.584922539061,3379.0494988825176,3410.533896468064,3666.1546342918805,53.95590535704047,35.972307526788995,67.08170236546519,3237.0888765032623,3767.713805797477,0,0,0,0,-1,0,BUY,LOSS,0,1,3
TCS,2025-05-29,3387.626702221486,3414.498100356932,3370.034713912086,3381.247314453125,3188072,3390.317400921874,3379.2493002980277,3409.3853981405873,3663.1845965447965,54.74863418820729,35.63937927616421,66.75030021932353,3239.7956537467708,3766.138256455328,0,0,0,1,-1,0,BUY,LOSS,0,1,2
TCS,2025-06-16,3354.642349665819,3421.9302340050463,3341.1847251814343,3409.54541015625,1934088,3362.2463488938743,3358.2912221713523,3384.1905224061984,3625.1732919048864,54.59085266490637,30.394316794176326,48.6665239371462,3245.065183317316,3749.304446633958,0,0,0,0,-1,0,BUY,LOSS,0,1,0
TCS,2025-06-17,3422.905437301184,3432.6573046439225,3401.5489430536663,3428.073974609375,2111940,3375.4118740369754,3364.6351087566277,3385.911446478713,3623.130486447189,57.389819705319724,29.1431228732919,48.403018980397,3276.851676835542,3748.43791332306,1,0,0,0,-1,0,BUY,LOSS,0,1,1
TCS,2025-06-18,3431.7796073253016,3450.2105407013996,3357.665418209048,3365.75927734375,2696327,3373.4813546983305,3364.737305900912,3385.1211634044207,3620.4641064077914,47.969464671521166,26.9335681636142,51.83742869807598,3276.851676835542,3747.2390614265655,0,0,1,0,-1,0,BUY,LOSS,0,1,3
TCS,2025-08-19,2946.4476070609903,2959.950901928915,2946.349900778797,2951.340087890625,2650784,2967.7533700053373,3017.8791912350316,3131.680991964506,3443.7744081155392,41.43714799203815,55.73763626393604,38.66455920270807,3059.4150159564015,3669.2882755153173,0,0,0,0,-1,0,SELL,WIN,1,0,1
